timestamp,datetime,close,funding,oi,buy_ratio
1756940400000,2025-09-03 23:00:00+00:00,1.1137,0.0001,70140638.0,0.6777
1756944000000,2025-09-04 00:00:00+00:00,1.1181,0.0001,70096941.0,0.6807
1756947600000,2025-09-04 01:00:00+00:00,1.1183,0.0001,70208601.0,0.6795
1756951200000,2025-09-04 02:00:00+00:00,1.1141,0.0001,70307685.0,0.6803
1756954800000,2025-09-04 03:00:00+00:00,1.1111,0.0001,70321105.0,0.6797
1756958400000,2025-09-04 04:00:00+00:00,1.1119,0.0001,70438451.0,0.6809
1756962000000,2025-09-04 05:00:00+00:00,1.1108,0.0001,70459924.0,0.6816
1756965600000,2025-09-04 06:00:00+00:00,1.0938,0.0001,70515045.0,0.6799
1756969200000,2025-09-04 07:00:00+00:00,1.1054,0.0001,70050367.0,0.6813
1756972800000,2025-09-04 08:00:00+00:00,1.1006,-1.328e-05,70120358.0,0.6719
1756976400000,2025-09-04 09:00:00+00:00,1.1135,-1.328e-05,69964150.0,0.6698
1756980000000,2025-09-04 10:00:00+00:00,1.1155,-1.328e-05,70215231.0,0.6696
1756983600000,2025-09-04 11:00:00+00:00,1.1177,-1.328e-05,70368969.0,0.6804
1756987200000,2025-09-04 12:00:00+00:00,1.1347,-1.328e-05,70447123.0,0.6803
1756990800000,2025-09-04 13:00:00+00:00,1.1533,-1.328e-05,70511245.0,0.6815
1756994400000,2025-09-04 14:00:00+00:00,1.1352,-1.328e-05,71380063.0,0.6652
1756998000000,2025-09-04 15:00:00+00:00,1.1255,-1.328e-05,71219416.0,0.6711
1757001600000,2025-09-04 16:00:00+00:00,1.1465,6.083e-05,70897193.0,0.6714
1757005200000,2025-09-04 17:00:00+00:00,1.1359,6.083e-05,71105606.0,0.6673
1757008800000,2025-09-04 18:00:00+00:00,1.1384,6.083e-05,71205056.0,0.6656
1757012400000,2025-09-04 19:00:00+00:00,1.1365,6.083e-05,71221495.0,0.6637
1757016000000,2025-09-04 20:00:00+00:00,1.1318,6.083e-05,71418264.0,0.6648
1757019600000,2025-09-04 21:00:00+00:00,1.1296,6.083e-05,71465366.0,0.6672
1757023200000,2025-09-04 22:00:00+00:00,1.1358,6.083e-05,71408634.0,0.6688
1757026800000,2025-09-04 23:00:00+00:00,1.1349,6.083e-05,71447722.0,0.6674
1757030400000,2025-09-05 00:00:00+00:00,1.1383,0.0001,71566126.0,0.6671
1757034000000,2025-09-05 01:00:00+00:00,1.1375,0.0001,71769380.0,0.6646
1757037600000,2025-09-05 02:00:00+00:00,1.1751,0.0001,71800436.0,0.6707
1757041200000,2025-09-05 03:00:00+00:00,1.1861,0.0001,75439216.0,0.6401
1757044800000,2025-09-05 04:00:00+00:00,1.1786,0.0001,75505516.0,0.64
1757048400000,2025-09-05 05:00:00+00:00,1.1717,0.0001,75735809.0,0.6411
1757052000000,2025-09-05 06:00:00+00:00,1.1821,0.0001,75690010.0,0.6411
1757055600000,2025-09-05 07:00:00+00:00,1.1784,0.0001,75697740.0,0.6379
1757059200000,2025-09-05 08:00:00+00:00,1.1763,0.0001,75896294.0,0.6347
1757062800000,2025-09-05 09:00:00+00:00,1.1745,0.0001,75850104.0,0.6522
1757066400000,2025-09-05 10:00:00+00:00,1.1724,0.0001,75780188.0,0.654
1757070000000,2025-09-05 11:00:00+00:00,1.1748,0.0001,75829444.0,0.6537
1757073600000,2025-09-05 12:00:00+00:00,1.1785,0.0001,75763902.0,0.6566
1757077200000,2025-09-05 13:00:00+00:00,1.1806,0.0001,75775969.0,0.6608
1757080800000,2025-09-05 14:00:00+00:00,1.1716,0.0001,76674178.0,0.6657
1757084400000,2025-09-05 15:00:00+00:00,1.1769,0.0001,76279362.0,0.674
1757088000000,2025-09-05 16:00:00+00:00,1.1914,0.0001,76011902.0,0.6778
1757091600000,2025-09-05 17:00:00+00:00,1.1765,0.0001,76496684.0,0.6649
1757095200000,2025-09-05 18:00:00+00:00,1.1708,0.0001,76332766.0,0.6685
