timestamp,datetime,close,volume,open,high,low,ema20,ema50,ema100,rsi,atr,adx,momentum_3,momentum_3_atr,momentum_5,momentum_5_atr,momentum_10,momentum_10_atr,ema_slope_5,ema_slope_10,ema_gap_20_50,ema_gap_50_100,distance_ema20,distance_ema50,distance_ema100,volatility_10,volatility_20,volatility_ratio,return_1,return_3,return_5,return_10,volume_change,volume_ma20,volume_ratio,ema_cross,price_above_ema20,price_above_ema50,price_above_ema100,rsi_above_50,rsi_overbought,rsi_oversold,hour_utc,asia_hours,europe_hours,us_hours
1773252223058,2026-03-11 18:03:43.058000+00:00,70775.52918064629,2544.0663369318404,70363.95265312263,70775.52918064629,70363.95265312263,69937.89609159445,69582.67154436566,69176.53023611174,62.726591433298196,516.4737505205079,47.784042048900794,192.80844265360793,0.3733170223255162,1378.6972842128744,2.6694430894569288,1981.9964634549106,3.837555077014909,410.1302018170245,198.8095523845259,0.005105071986238709,0.005871085278022617,0.011976812799098707,0.01714302727684252,0.023114760729930947,748.470192652374,582.4996100131689,1.2849282296265427,0.005849252522134973,0.00273166634323041,0.019866862024341625,0.02881079638114903,0.005270147914479217,3692.6068379916933,0.6889621474880567,1,1,1,1,1,0,0,18,0,0,1
1773255801958,2026-03-11 19:03:21.958000+00:00,70827.4160499732,3230.6919684532822,70775.52918064629,70827.4160499732,70363.95265312263,70022.61227810671,69631.48505438949,69209.221044307,59.77295051322514,523.1641587183549,47.04430429871269,327.35512570007995,0.6257216214926351,218.00743758154567,0.41670942848152837,1728.6919659157575,3.3043012161817344,391.83279569935985,344.51263938749616,0.005617103001777314,0.006101268063863199,0.011493483971578644,0.017175147056673595,0.02338120529676583,749.1352576575093,628.5651539689252,1.1918179888389797,0.0007331187760457603,0.004643331103666881,0.003087512583178409,0.025017711814950827,0.2698929747050214,3509.5606547272228,0.9205402858906805,1,1,1,1,1,0,0,19,0,0,1
1773259405178,2026-03-11 20:03:25.178000+00:00,70558.2786227708,4132.7567652930775,70827.4160499732,70827.4160499732,70558.2786227708,70073.62812045567,69667.82990020837,69235.93505576173,63.65931969492402,505.66969082099655,44.301684149663274,194.32596964816912,0.3842942797949081,-24.442115221885615,-0.04833612863409268,1578.2275501482654,3.1210641626273454,352.18756608781405,462.0092975551961,0.005824757579338539,0.006238015621494739,0.006916303826626727,0.012781347199100417,0.019099093064086893,660.3918248053875,650.5459107513572,1.0151348488881555,-0.003799904644445906,0.002761726172578083,-0.0003462903521758154,0.022879477843336105,0.27921720970249764,3542.115856136017,1.166748049229923,1,1,1,1,1,0,0,20,0,0,1
1773262960995,2026-03-11 21:02:40.995000+00:00,70377.06271150215,4122.142542583958,70558.2786227708,70827.4160499732,70377.06271150215,70102.52665293629,69695.64295163164,69258.53164300411,63.00082240788437,490.98757150769336,41.25850546344627,-398.46646914414305,-0.8115612130884633,-122.99821277096635,-0.2505118661013577,1336.1198180468782,2.7212905083198007,306.9317776250682,545.2579185544018,0.005838007715733651,0.006311299102912503,0.003916207755606831,0.009777078322434131,0.016150083490992118,518.7399508982697,661.0799104863647,0.7846856978555369,-0.002568315367180274,-0.005630003388983562,-0.0017446539926125881,0.01935257199642826,-0.002568315367180052,3607.729260688856,1.142586442807762,1,1,1,1,1,0,0,21,0,0,1
1773266629372,2026-03-11 22:03:49.372000+00:00,70372.28300533294,4121.8625844643375,70377.06271150215,70558.2786227708,70372.28300533294,70128.21773411692,69722.17785569836,69280.58612542646,74.53552497686466,451.7252966047953,40.5717975379171,-455.13304464025714,-1.007543850346823,8.330352210308774,0.018441190415768992,980.0776203386049,2.1696319150265597,278.4935466331808,586.6693187243218,0.00582368323690232,0.006373960657209789,0.0034802719804083444,0.00932422321890283,0.015757616108068948,398.85020090691404,668.6851586208899,0.5964693484890712,-6.791568140329662e-05,-0.006425944500349057,0.00011838948632370005,0.014123742211405999,-6.79156814031856e-05,3673.484401443739,1.1220580065194716,1,1,1,1,1,1,0,22,0,0,1
1773270203980,2026-03-11 23:03:23.980000+00:00,70483.58919301568,4128.382037732523,70372.28300533294,70483.58919301568,70372.28300533294,70162.06263496442,69752.03712382846,69304.40796834903,72.90252833811684,417.2597075116656,40.1517425858105,-74.68942975511891,-0.17899986126273787,-291.93998763061245,-0.6996601454082402,1086.757296582262,2.604510517114514,224.16654336996726,634.2967451869918,0.005878330268807115,0.006458884342304168,0.004582626935072962,0.010487895398503167,0.01701451984418045,161.67635957947823,680.5099615314681,0.2375811798781461,0.0015816765199205829,-0.001058549488635263,-0.004124871844977229,0.01566004191955206,0.0015816765199203608,3694.838312794514,1.117337671701825,1,1,1,1,1,1,0,23,0,0,1
1773273774296,2026-03-12 00:02:54.296000+00:00,70330.32709013586,4231.46881749608,70483.58919301568,70483.58919301568,70330.32709013586,70178.08782117123,69774.71516172287,69324.7231984834,72.07792069584715,406.40761722693424,40.398368909604905,-46.73562136628607,-0.11499691291511697,-497.08895983733237,-1.223129042780124,-279.0815222557867,-0.6867034731289238,155.4755430645164,547.3083387638762,0.0057810721048939875,0.006491074792337631,0.0021693276874766797,0.007962940832151114,0.014505703668997196,173.01810623702343,682.8519893115293,0.25337570797950654,-0.0021744366970318785,-0.0006640746226915795,-0.00701831278846321,-0.0039524693343319095,0.024970261671852567,3721.7212107339888,1.1369655538120114,1,1,1,1,1,1,0,0,1,0,0
1773277374442,2026-03-12 01:02:54.442000+00:00,70343.9404213676,4234.500587502902,70330.32709013586,70483.58919301568,70330.32709013586,70193.88330690422,69797.03772092462,69344.90571774844,71.63944663686773,408.8782666158565,40.64499523339928,-28.342583965335507,-0.06931790285631263,-214.33820140319585,-0.5242103063515657,-238.78031662508147,-0.5839887715269942,120.2551864485431,472.44275253635715,0.0056857081466169836,0.006520046404222964,0.0021377520005169356,0.007835614781098706,0.014406749757300047,179.32108217843697,687.792386307126,0.26071978368536763,0.00019356274590176525,-0.0004027520886765723,-0.00303774703106241,-0.003382985440748998,0.0007164817082632169,3747.7753926019604,1.1298704281643257,1,1,1,1,1,1,0,1,1,0,0
1773281025248,2026-03-12 02:03:45.248000+00:00,70197.26875060286,4225.671208099417,70343.9404213676,70343.9404213676,70197.26875060286,70194.20573011361,69812.7330554218,69361.78419364654,64.3448345797467,389.915220786781,42.127021974060256,-286.32044241281983,-0.7343146077628729,-179.79396089928923,-0.4611103935273311,-302.7921736702556,-0.7765589993108577,91.67907717732305,398.61085480239126,0.005464227770440743,0.006501402278180891,4.363637222462806e-05,0.005508102581742282,0.012045315250596567,202.152586325895,680.5646782180064,0.29703655331512635,-0.002085064753071353,-0.004062228466100715,-0.0025547238542239503,-0.004294920737664243,-0.0020851052493753297,3774.7507776276857,1.1194570071073988,1,1,1,1,1,0,0,2,1,0,0
1773284628842,2026-03-12 03:03:48.842000+00:00,69942.78455940759,3307.93634700498,70197.26875060286,70343.9404213676,69942.78455940759,70170.26085671304,69817.83311440164,69373.28915138438,58.93256920559546,393.14856785691416,42.573285502801596,-387.54253072827123,-0.9857406650132216,-429.49844592534646,-1.0924583758922928,-421.1680937150377,-1.0712695610487892,42.043122596121975,320.5366692293028,0.005047818395250359,0.006407998935255777,-0.0032417764239176775,0.0017896780726667414,0.008209145263106617,260.52016503265617,664.5085167884478,0.39204939959497115,-0.0036252719760280216,-0.00551031890171072,-0.006103233085287263,-0.0059855661575934915,-0.21718084912413405,3756.255925280441,0.8806472223422874,1,0,1,1,1,0,0,3,1,0,0
1773288144866,2026-03-12 04:02:24.866000+00:00,69163.28469727418,4546.412848639822,69942.78455940759,70197.26875060286,69163.28469727418,70074.35836533792,69792.16454902409,69369.1306473426,22.432620986722128,380.06148399486847,45.44362296510362,-1180.6557240934198,-3.1064861182022794,-1320.3044957414968,-3.4739234343444276,-1612.2444833721092,-4.242062274834124,-87.70426962649799,136.46227374346927,0.004043345239931688,0.006098301906536917,-0.013001527082328514,-0.009010751505037003,-0.0029673998815825837,448.02903758129906,632.114307881117,0.7087785104613705,-0.01114482168594988,-0.01678404304651071,-0.018732083749678385,-0.022779688149798805,0.3743955057527526,3801.297708900319,1.1960159915901607,1,0,0,0,0,0,1,4,1,0,0
1773291773562,2026-03-12 05:02:53.562000+00:00,69289.56937156079,4554.714085965385,69163.28469727418,69942.78455940759,69163.28469727418,69999.61655640676,69772.4549342216,69367.55517653502,26.250546250124927,349.1274230073811,48.313960427405675,-907.6993790420674,-2.5999085698371927,-1040.7577185750706,-2.981025407886863,-1537.846678412403,-4.404829231589424,-178.47126476446283,-22.995721699946444,0.003255749312523347,0.005837019290302823,-0.010143586776276184,-0.006920862439426219,-0.0011242403566878586,493.14068192139194,618.0139751703125,0.7979442241342378,0.0018258917985076728,-0.01293069367509081,-0.014798135621369002,-0.02171259046535534,0.0018258872658354353,3845.9983988158156,1.1842735263144628,1,0,0,0,0,0,1,5,1,0,0
1773295392105,2026-03-12 06:03:12.105000+00:00,69227.68994070512,4550.646446245208,69289.56937156079,69289.56937156079,69163.28469727418,69926.09973586374,69751.09160114253,69364.78556790474,26.452454366114438,350.3372077336722,51.184297889707736,-715.0946187024674,-2.0411609241519195,-1116.2504806624784,-3.1862173243986502,-1330.5886820656742,-3.798022741213344,-267.7835710404761,-147.528384591933,0.002509037933369693,0.005569195234657201,-0.009987827117439164,-0.0075038490211790645,-0.0019764441867322017,535.2140489582918,597.017055580127,0.8964803332766069,-0.0008930554976297467,-0.010223994129016756,-0.01586846676452902,-0.018858009407789922,-0.0008930614838614792,3892.3602842399328,1.1691226181375496,1,0,0,0,0,0,1,6,1,0,0
1773298989253,2026-03-12 07:03:09.253000+00:00,69555.83675507529,4572.217012889915,69227.68994070512,69555.83675507529,69227.68994070512,69890.83659483626,69743.43454835558,69368.5687597299,36.03684879106726,358.14997412653713,52.658161815360025,392.55205780110555,1.0960549662427528,-641.4319955275714,-1.790959212245948,-821.2259564268606,-2.2929666780785887,-303.3691352773458,-211.69005810002272,0.0021134899282667634,0.005403971789069154,-0.004793186862292117,-0.0026898272861831086,0.002699608752114044,529.2597149461319,559.3695410076558,0.9461718526767035,0.004740109263377423,0.005675728958208115,-0.009137563425814399,-0.011668943328784875,0.004740110421565635,3928.8302571884205,1.1637603850470035,1,0,0,1,0,0,0,7,1,0,0
1773302585726,2026-03-12 08:03:05.726000+00:00,69667.9859756416,4579.802390204113,69555.83675507529,69667.9859756416,69227.68994070512,69869.61272634153,69740.47578079817,69374.49781351033,28.6544390244417,360.2013675131665,54.21404020142411,378.416604080805,1.0505695930401253,-274.7985837659944,-0.7629026665367917,-704.2970296913409,-1.955286940063032,-300.6481303715118,-258.6050077753898,0.0018516785854637836,0.005275396274170412,-0.0028857573819628906,-0.0010394222916461314,0.004230490618039641,504.32115994734636,543.8097956272057,0.9273852071121376,0.0016123624673112236,0.0054613790721020905,-0.003928905397419302,-0.01000815945729605,0.001659015154533039,3964.7364840906594,1.155134120156922,1,0,0,1,0,0,1,8,0,1,0
1773306158428,2026-03-12 09:02:38.428000+00:00,69652.06753056275,4578.755989680927,69667.9859756416,69667.9859756416,69555.83675507529,69848.89413626736,69737.00879059285,69379.99424355096,27.02915961463998,335.10749777857666,56.40303368217756,424.37758985762775,1.2663924044398294,488.78283328856924,1.458585189912798,-831.5216624529276,-2.481357976067595,-225.4642290705524,-313.1684986970504,0.0016043898012672651,0.005145785192610898,-0.002817891509071373,-0.0012180227042023397,0.003921494805213009,448.2242736264995,528.5208687039282,0.8480729904301832,-0.00022849009994940772,0.006130171181807587,0.007067085310189514,-0.011797379673385344,-0.0002284815880755353,4000.5894407752253,1.1445203406810134,1,0,0,1,0,0,1,9,0,1,0
1773309733203,2026-03-12 10:02:13.203000+00:00,70018.39976645693,4602.837527845834,69652.06753056275,70018.39976645693,69652.06753056275,69865.03752961876,69748.04373082281,69392.63593707385,39.83487187275915,342.04998411370406,56.24108624945503,462.5630113816442,1.3523257794623311,728.8303948961402,2.1307716086718504,-311.9273236789304,-0.9119349164338472,-134.57902678800747,-313.0502915524703,0.0016773774938757242,0.0051216932308386755,0.0021951213691563517,0.003876180910213024,0.009017726750581044,411.7187590719028,517.3604026101711,0.7958064764808263,0.005259459609485928,0.006650240051175649,0.010518616315651208,-0.004435175216505938,0.00525940631454902,4033.6217687930853,1.1411177824000749,1,1,1,1,0,0,0,10,0,1,0
